Rank,Name,Name,Symbol,Mkt Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d
41,ARBArbitrum,Arbitrum,ARB,"$2.9B$2,897,384,859",$1.09,"2,653,939,384 ARB *","$264,499,648",-0.86%,-1.42%,-4.36%
42,KASKaspa,Kaspa,KAS,"$2.79B$2,790,886,055",$0.119,"23,448,414,176 KAS","$76,723,145",-0.89%,-2.08%,-0.22%
43,MKRMaker,Maker,MKR,"$2.65B$2,645,913,864","$2,860.12","925,107 MKR *","$69,043,792",-0.13%,0.50%,-5.44%
44,OPOptimism,Optimism,OP,"$2.53B$2,534,273,858",$2.42,"1,045,379,867 OP *","$207,801,079",-0.82%,0.82%,8.50%
45,GRTThe Graph,The Graph,GRT,"$2.53B$2,533,460,053",$0.2672,"9,482,909,278 GRT *","$88,873,262",-0.57%,-0.29%,4.52%
46,INJInjective,Injective,INJ,"$2.48B$2,479,340,269",$26.55,"93,400,000 INJ *","$73,866,380",-0.60%,1.00%,-4.22%
47,THETATheta Network,Theta Network,THETA,"$2.46B$2,457,326,377",$2.46,"1,000,000,000 THETA *","$72,516,283",0.58%,6.74%,17.77%
48,ARArweave,Arweave,AR,"$2.33B$2,325,679,235",$35.53,"65,454,185 AR *","$134,067,811",-2.15%,9.80%,41.35%
49,XMRMonero,Monero,XMR,"$2.2B$2,202,492,052",$119.52,"18,428,414 XMR","$40,299,028",-0.22%,0.79%,2.52%
50,FTMFantom,Fantom,FTM,"$2.11B$2,114,023,091",$0.754,"2,803,634,836 FTM *","$234,660,872",-0.56%,5.48%,9.89%
51,CORECore,Core,CORE,"$2.06B$2,058,911,112",$2.33,"883,607,305 CORE *","$117,613,734",-1.06%,-2.84%,12.28%
52,FETFetch.ai,Fetch.ai,FET,"$1.96B$1,959,445,461",$2.31,"848,349,618 FET *","$228,137,759",-0.74%,3.29%,12.69%
53,TIACelestia,Celestia,TIA,"$1.93B$1,927,059,354",$10.72,"179,838,048 TIA *","$87,462,665",-1.05%,-2.41%,5.79%
54,RUNETHORChain,THORChain,RUNE,"$1.85B$1,847,383,314",$5.51,"335,299,962 RUNE *","$294,060,643",-0.50%,3.02%,12.43%
55,LDOLido DAO,Lido DAO,LDO,"$1.81B$1,814,076,973",$2.03,"891,713,532 LDO *","$53,022,596",-0.55%,2.07%,1.87%
56,BONKBonk,Bonk,BONK,"$1.8B$1,798,166,804",$0.00002758,"65,191,332,386,576 BONK *","$608,300,957",-2.12%,14.69%,86.69%
57,FLOKIFLOKI,,FLOKI,"$1.8B$1,796,049,389",$0.0001877,"9,569,650,028,350 FLOKI *","$279,920,577",-1.10%,2.61%,35.52%
58,SEISei,Sei,SEI,"$1.77B$1,772,323,864",$0.633,"2,800,000,000 SEI *","$213,683,672",-1.33%,7.67%,20.93%
59,BGBBitget Token,Bitget Token,BGB,"$1.68B$1,681,149,722",$1.20,"1,400,000,000 BGB *","$34,127,523",0.06%,-1.21%,-4.16%
60,ALGOAlgorand,Algorand,ALGO,"$1.63B$1,631,471,547",$0.2005,"8,138,093,851 ALGO *","$146,138,395",-0.97%,-4.11%,14.68%
61,SUISui,Sui,SUI,"$1.59B$1,588,629,894",$1.23,"1,295,901,469 SUI *","$196,592,952",-0.60%,-1.44%,-2.39%
62,BEAMBeam,Beam,BEAM,"$1.46B$1,456,665,153",$0.02749,"52,998,231,450 BEAM *","$22,144,015",-0.72%,0.77%,4.99%
63,GALAGala,Gala,GALA,"$1.44B$1,444,734,109",$0.0476,"30,348,537,501 GALA *","$127,518,411",-0.65%,1.83%,7.11%
64,PENDLEPendle,Pendle,PENDLE,"$1.42B$1,418,274,345",$5.93,"239,185,588 PENDLE *","$65,007,283",-1.56%,-4.85%,-0.12%
65,JUPJupiter,Jupiter,JUP,"$1.41B$1,410,469,822",$1.04,"1,350,000,000 JUP *","$145,130,929",-0.90%,-2.27%,0.90%
66,FLOWFlow,Flow,FLOW,"$1.39B$1,392,404,448",$0.9262,"1,503,293,597 FLOW *","$57,402,481",-0.72%,-0.36%,5.43%
67,AAVEAave,Aave,AAVE,"$1.36B$1,355,215,521",$91.52,"14,808,149 AAVE *","$73,064,512",0.14%,1.39%,6.99%
68,QNTQuant,Quant,QNT,"$1.32B$1,324,847,273",$109.74,"12,072,738 QNT *","$17,606,562",-0.02%,1.79%,1.05%
69,BSVBitcoin SV,Bitcoin SV,BSV,"$1.32B$1,317,763,107",$66.92,"19,692,966 BSV","$43,001,408",-0.45%,-1.29%,-0.77%
70,NEONeo,Neo,NEO,"$1.25B$1,248,060,433",$17.69,"70,538,831 NEO *","$81,489,178",-0.58%,-1.61%,-4.67%
71,ENAEthena,Ethena,ENA,"$1.24B$1,239,325,224",$0.8697,"1,425,000,000 ENA *","$343,340,059",-0.88%,0.48%,-5.05%
72,BTTBitTorrent (New),BitTorrent (New),BTT,"$1.23B$1,228,081,236",$0.000001268,"968,246,428,571,000 BTT *","$26,680,498",-0.33%,-0.13%,-1.23%
73,AGIXSingularityNET,SingularityNET,AGIX,"$1.2B$1,203,450,431",$0.9387,"1,282,094,972 AGIX *","$111,009,149",-1.00%,0.52%,11.21%
